county_fips,Geographic Area Name, Total,Race/Ethnic Group,Population Groups
1001,"Autauga County, Alabama",1141,4015,Mexican
1003,"Baldwin County, Alabama",6790,4015,Mexican
1005,"Barbour County, Alabama",943,4015,Mexican
1007,"Bibb County, Alabama",428,4015,Mexican
1009,"Blount County, Alabama",4799,4015,Mexican
1011,"Bullock County, Alabama",274,4015,Mexican
1013,"Butler County, Alabama",141,4015,Mexican
1015,"Calhoun County, Alabama",3127,4015,Mexican
1017,"Chambers County, Alabama",761,4015,Mexican
1019,"Cherokee County, Alabama",222,4015,Mexican
1021,"Chilton County, Alabama",3590,4015,Mexican
1023,"Choctaw County, Alabama",75,4015,Mexican
1025,"Clarke County, Alabama",99,4015,Mexican
1027,"Clay County, Alabama",282,4015,Mexican
1029,"Cleburne County, Alabama",209,4015,Mexican
1031,"Coffee County, Alabama",1958,4015,Mexican
1033,"Colbert County, Alabama",1114,4015,Mexican
1035,"Conecuh County, Alabama",190,4015,Mexican
1037,"Coosa County, Alabama",153,4015,Mexican
1039,"Covington County, Alabama",289,4015,Mexican
1041,"Crenshaw County, Alabama",121,4015,Mexican
1043,"Cullman County, Alabama",3307,4015,Mexican
1045,"Dale County, Alabama",1422,4015,Mexican
1047,"Dallas County, Alabama",147,4015,Mexican
1049,"DeKalb County, Alabama",6922,4015,Mexican
1051,"Elmore County, Alabama",1480,4015,Mexican
1053,"Escambia County, Alabama",516,4015,Mexican
1055,"Etowah County, Alabama",2391,4015,Mexican
1057,"Fayette County, Alabama",215,4015,Mexican
1059,"Franklin County, Alabama",2849,4015,Mexican
1061,"Geneva County, Alabama",836,4015,Mexican
1063,"Greene County, Alabama",25,4015,Mexican
1065,"Hale County, Alabama",91,4015,Mexican
1067,"Henry County, Alabama",228,4015,Mexican
1069,"Houston County, Alabama",2137,4015,Mexican
1071,"Jackson County, Alabama",954,4015,Mexican
1073,"Jefferson County, Alabama",20818,4015,Mexican
1075,"Lamar County, Alabama",168,4015,Mexican
1077,"Lauderdale County, Alabama",1813,4015,Mexican
1079,"Lawrence County, Alabama",653,4015,Mexican
1081,"Lee County, Alabama",4093,4015,Mexican
1083,"Limestone County, Alabama",4599,4015,Mexican
1085,"Lowndes County, Alabama",75,4015,Mexican
1087,"Macon County, Alabama",187,4015,Mexican
1089,"Madison County, Alabama",13326,4015,Mexican
1091,"Marengo County, Alabama",233,4015,Mexican
1093,"Marion County, Alabama",519,4015,Mexican
1095,"Marshall County, Alabama",8542,4015,Mexican
1097,"Mobile County, Alabama",4644,4015,Mexican
1099,"Monroe County, Alabama",117,4015,Mexican
1101,"Montgomery County, Alabama",6253,4015,Mexican
1103,"Morgan County, Alabama",7985,4015,Mexican
1105,"Perry County, Alabama",31,4015,Mexican
1107,"Pickens County, Alabama",301,4015,Mexican
1109,"Pike County, Alabama",452,4015,Mexican
1111,"Randolph County, Alabama",430,4015,Mexican
1113,"Russell County, Alabama",1287,4015,Mexican
1115,"St. Clair County, Alabama",1607,4015,Mexican
1117,"Shelby County, Alabama",10283,4015,Mexican
1119,"Sumter County, Alabama",51,4015,Mexican
1121,"Talladega County, Alabama",1125,4015,Mexican
1123,"Tallapoosa County, Alabama",874,4015,Mexican
1125,"Tuscaloosa County, Alabama",5802,4015,Mexican
1127,"Walker County, Alabama",1027,4015,Mexican
1129,"Washington County, Alabama",78,4015,Mexican
1131,"Wilcox County, Alabama",66,4015,Mexican
1133,"Winston County, Alabama",581,4015,Mexican
2013,"Aleutians East Borough, Alaska",112,4015,Mexican
2016,"Aleutians West Census Area, Alaska",428,4015,Mexican
2020,"Anchorage Municipality, Alaska",12732,4015,Mexican
2050,"Bethel Census Area, Alaska",103,4015,Mexican
2063,"Chugach Census Area, Alaska",179,4015,Mexican
2066,"Copper River Census Area, Alaska",53,4015,Mexican
2068,"Denali Borough, Alaska",34,4015,Mexican
2070,"Dillingham Census Area, Alaska",77,4015,Mexican
2090,"Fairbanks North Star Borough, Alaska",3972,4015,Mexican
2100,"Haines Borough, Alaska",48,4015,Mexican
2105,"Hoonah-Angoon Census Area, Alaska",81,4015,Mexican
2110,"Juneau City and Borough, Alaska",1177,4015,Mexican
2122,"Kenai Peninsula Borough, Alaska",1356,4015,Mexican
2130,"Ketchikan Gateway Borough, Alaska",358,4015,Mexican
2150,"Kodiak Island Borough, Alaska",529,4015,Mexican
2170,"Matanuska-Susitna Borough, Alaska",2887,4015,Mexican
2180,"Nome Census Area, Alaska",76,4015,Mexican
2185,"North Slope Borough, Alaska",200,4015,Mexican
2188,"Northwest Arctic Borough, Alaska",62,4015,Mexican
2195,"Petersburg Borough, Alaska",102,4015,Mexican
2198,"Prince of Wales-Hyder Census Area, Alaska",93,4015,Mexican
2220,"Sitka City and Borough, Alaska",278,4015,Mexican
2240,"Southeast Fairbanks Census Area, Alaska",137,4015,Mexican
2275,"Wrangell City and Borough, Alaska",38,4015,Mexican
2282,"Yakutat City and Borough, Alaska",32,4015,Mexican
2290,"Yukon-Koyukuk Census Area, Alaska",35,4015,Mexican
4001,"Apache County, Arizona",2872,4015,Mexican
4003,"Cochise County, Arizona",35882,4015,Mexican
4005,"Coconino County, Arizona",17254,4015,Mexican
4007,"Gila County, Arizona",7867,4015,Mexican
